Total_Funding_USD_M,Burn_Rate_USD_M,Runway_Months,Revenue_USD_M,Revenue_Growth_Rate,Net_Profit_Margin,CAC,LTV,LTV_CAC_Ratio,ARR_USD_M,Churn_Rate,Novelty_Score,Sustainability_Alignment,Sentiment_Score,Social_Buzz_Score,label
21.425,0.439,24.41,3.63,-0.146,0.091,0.318,1.886,5.931,2.405,0.223,0.661,0,0.006,0.088,1
25.931,0.747,17.35,17.552,0.464,0.171,0.4,1.651,4.129,17.393,0.088,0.44,1,-0.066,0.254,1
19.793,0.488,20.26,4.793,0.318,-0.074,0.378,2.136,5.655,3.011,0.05,0.468,0,-0.154,0.398,1
18.522,0.845,10.96,11.408,0.254,0.192,0.585,1.57,2.685,10.139,0.011,0.795,0,0.099,0.611,1
27.343,0.67,20.4,3.99,0.386,-0.131,0.417,1.628,3.902,4.165,0.145,0.759,0,-0.084,0.196,1
19.243,0.426,22.61,16.165,0.251,-0.065,0.549,1.855,3.377,17.93,0.062,0.605,0,-0.249,0.328,1
23.005,0.384,29.99,15.138,-0.075,-0.056,0.296,1.269,4.286,11.489,0.04,0.354,0,0.115,0.085,1
22.038,0.188,48.0,7.996,0.534,-0.164,0.239,1.247,5.219,5.564,0.097,0.589,0,0.22,0.335,1
27.333,0.673,20.32,3.42,0.399,0.253,0.316,1.837,5.811,2.062,0.112,0.234,1,-0.064,0.438,1
17.114,0.511,16.73,19.363,0.287,-0.144,0.176,1.585,8.0,9.812,0.112,0.75,1,0.58,0.434,1
31.349,0.05,48.0,13.124,0.157,-0.09,0.423,1.396,3.305,9.081,0.081,0.876,1,0.12,0.411,1
15.205,0.466,16.31,12.996,0.056,0.301,0.292,1.559,5.336,14.264,0.088,0.447,1,-0.205,0.257,1
23.654,0.375,31.56,6.666,0.395,-0.064,0.249,2.397,8.0,4.899,0.092,0.922,1,-0.294,0.251,1
22.465,0.994,11.3,10.637,0.673,0.012,0.425,1.378,3.245,6.955,0.097,0.474,1,0.025,0.303,1
14.581,0.174,41.83,11.268,0.391,-0.152,0.178,1.364,7.644,11.17,0.101,0.574,0,0.49,0.433,1
24.511,0.24,48.0,19.661,0.073,0.217,0.466,0.746,1.603,11.255,0.135,0.353,1,-0.188,0.349,0
17.699,0.877,10.09,15.726,0.395,0.219,0.278,1.579,5.674,9.515,0.083,0.943,0,0.309,0.597,1
12.41,0.939,6.61,7.66,0.339,0.198,0.524,1.928,3.681,8.799,0.039,0.205,0,0.133,0.477,1
25.854,0.414,31.24,10.044,0.523,0.158,0.291,2.018,6.933,4.673,0.073,0.549,0,0.798,0.367,1
10.265,0.442,11.61,9.554,0.471,0.065,0.445,1.654,3.719,6.991,0.118,0.311,0,0.237,0.474,1
13.486,0.754,8.94,12.421,-0.2,-0.055,0.377,2.078,5.513,10.699,0.0,0.586,0,-0.144,0.108,1
19.693,0.05,48.0,4.264,0.459,-0.113,0.462,1.966,4.258,2.491,0.0,0.352,1,0.358,0.442,1
27.255,0.135,48.0,10.489,0.149,0.308,0.366,2.156,5.884,6.554,0.126,0.324,0,0.37,0.312,1
25.169,0.53,23.75,9.5,0.066,0.203,0.1,2.092,8.0,5.486,0.156,0.301,0,-0.039,0.533,1
21.278,0.987,10.77,21.367,0.312,-0.089,0.501,2.385,4.757,14.448,0.017,0.416,0,-0.307,0.244,1
8.694,0.491,8.85,20.873,0.432,0.058,0.337,1.515,4.498,23.353,0.085,0.359,1,0.288,0.216,1
14.89,0.625,11.91,21.425,0.022,-0.01,0.468,0.936,1.999,15.967,0.06,0.764,0,0.122,0.523,0
16.389,0.883,9.28,16.665,0.491,-0.176,0.454,1.932,4.26,12.237,0.067,0.503,0,-0.431,0.108,1
12.14,1.127,5.39,14.983,0.503,0.086,0.234,1.99,8.0,10.627,0.095,0.586,1,0.189,0.215,1
7.574,0.456,8.31,9.716,0.359,-0.033,0.213,2.385,8.0,11.38,0.015,0.774,1,-0.123,0.452,1
20.109,0.596,16.88,6.569,0.176,-0.141,0.448,2.241,4.998,3.244,0.025,0.766,0,-0.43,0.259,1
25.511,1.056,12.08,11.086,0.154,-0.246,0.305,2.573,8.0,12.167,0.065,0.27,1,-0.023,0.289,1
